event ID,permissions,month,day,year,iso 8601,recording location,event title,event notes,technical/recording notes,tape number,tape side,speakers 1,speakers 2,speakers 3,speakers 4,speakers 5,speakers 6,speakers 7,speakers 8,speakers 9,speakers 10,speakers 11,speakers 12,film titles 1,film titles 2,film titles 3,film titles 4,film titles 5,film titles 6,film titles 7,film titles 8,film titles 9,film titles 10,film titles 11,film titles 12,film titles 13,film titles 14,film titles 15,film titles 16,film titles 17,film titles 18
00029,,02,17,1979,1979-02-17T00:00:00Z,PFA,,,,258,,Michael Rubbo,,,,,,,,,,,,WET EARTH AND WARM PEOPLE,ZOLZHENITSYN’S CHILDREN,,,,,,,,,,,,,,,,
00030,,02,20,1979,1979-02-20T00:00:00Z,PFA,,,,259,,Michael Rubbo,,,,,,,,,,,,I AM AN OLD TREE,SAD SONG OF YELLOW SKIN,,,,,,,,,,,,,,,,
00031,,03,06,1979,1979-03-06T00:00:00Z,PFA,,,,260,,Jon Jost,,,,,,,,,,,,CHAMELEON,,,,,,,,,,,,,,,,,
00032,,01,26,1979,1979-01-26T00:00:00Z,PFA,,,,261,,Haile Gerima,,,,,,,,,,,,BUSH MAMA,HARVEST: 3000YEARS,,,,,,,,,,,,,,,,
00033,,02,27,1979,1979-02-27T00:00:00Z,PFA,HIS FILMS,,,262,,Richard Serra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00034,,03,04,1979,1979-03-04T00:00:00Z,PFA,,,,263,,Bobby Roth,,,,,,,,,,,,THE BOSS’ SON,,,,,,,,,,,,,,,,,
00035,,03,06,1979,1979-03-06T00:00:00Z,PFA,HIS FILMS,,,264,,Vincent Grenier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00036,,03,13,1979,1979-03-13T00:00:00Z,PFA,HER FILMS,,,265,,Dana Gordon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00037,,03,13,1979,1979-03-13T00:00:00Z,PFA,,,,266,,James Benning,,,,,,,,,,,,GRAND OPERA,,,,,,,,,,,,,,,,,
00038,,03,20,1979,1979-03-20T00:00:00Z,Wheeler Auditorium,,,,267,,Astrid Lindgren,,,,,,,,,,,,THE BROTHERS LIONHART,,,,,,,,,,,,,,,,,
00039,,03,21,1979,1979-03-21T00:00:00Z,Wheeler Auditorium,,,,268,,Reinhard Hauff,,,,,,,,,,,,KNIFE IN THE HEAD,,,,,,,,,,,,,,,,,
00040,,03,21,1979,1979-03-21T00:00:00Z,Wheeler Auditorium,,,,269,,Chantal Akerman,,,,,,,,,,,,MEETINGS WITH ANNA,,,,,,,,,,,,,,,,,
00041,,03,23,1979,1979-03-23T00:00:00Z,Wheeler Auditorium,,,,270,,Yousef Chahine,,,,,,,,,,,,ALEXANDRIA WHY?,,,,,,,,,,,,,,,,,
00042,,03,26,1979,1979-03-26T00:00:00Z,PFA,,,,271,,Hans-Jurgen Syberberg,,,,,,,,,,,,HITLER: A FILM FROM GERMANY,,,,,,,,,,,,,,,,,
00043,,03,31,1979,1979-03-31T00:00:00Z,PFA,,,,272,,Nikos Panayotopolous,,,,,,,,,,,,THE IDLERS OF THE FERTILE VALLEY,,,,,,,,,,,,,,,,,
00044,,03,31,1979,1979-03-31T00:00:00Z,PFA,,,,273,,Errol Morris,,,,,,,,,,,,GATES OF HEAVEN,,,,,,,,,,,,,,,,,
00045,,03,17,1979,1979-03-17T00:00:00Z,PFA,,speaker unknown,,274,,,,,,,,,,,,,,FAMILY-SOUNDTRACK,,,,,,,,,,,,,,,,,
00046,,03,30,1979,1979-03-30T00:00:00Z,PFA,,,,275,,Jacques Rouffio,,,,,,,,,,,,SUGAR,,,,,,,,,,,,,,,,,
00047,,03,30,1979,1979-03-30T00:00:00Z,PFA,,,,276,,Jean-Francois Stevenin,,,,,,,,,,,,MOUNTAIN PASS,,,,,,,,,,,,,,,,,
00048,,04,05,1979,1979-04-05T00:00:00Z,Wheeler Auditorium,,,,277,,Sonia Braga,,,,,,,,,,,,DONA FLOR AND HER TWO HUSBANDS,THE LADY IN THE BUS,,,,,,,,,,,,,,,,
00049,,04,06,1979,1979-04-06T00:00:00Z,PFA,,,,278,,Maurizio Grande,,,,,,,,,,,,THE LAST WOMAN,THE WEDDING MARCH,,,,,,,,,,,,,,,,
00050,,04,07,1979,1979-04-07T00:00:00Z,PFA,,,,279,,Maurizio Grande,,,,,,,,,,,,THE MAN WITH THE BALLOONS,,,,,,,,,,,,,,,,,
00051,,04,10,1979,1979-04-10T00:00:00Z,PFA,,,,280,,P. Adams Sitney,,,,,,,,,,,,ENTHUSIASM,FORWARD SOVIET,ZVENIGORA,,,,,,,,,,,,,,,
00052,,04,10,1979,1979-04-10T00:00:00Z,PFA,,,Same as 280:Side B,281,,P. Adams Sitney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00053,,04,03,1979,1979-04-03T00:00:00Z,PFA,WITH OTHER ANIMATION,,,282,,Susan Pitt,,,,,,,,,,,,ASPARAGUS,,,,,,,,,,,,,,,,,
00054,,04,13,1979,1979-04-13T00:00:00Z,PFA,,,,283,,Michael Snow,,,,,,,,,,,,LA REGION CENTRALE,,,,,,,,,,,,,,,,,
00055,,04,13,1979,1979-04-13T00:00:00Z,PFA,DREYER AND BRESSON,lecture,,284,,P. Adams Sitney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00056,,04,17,1979,1979-04-17T00:00:00Z,PFA,,,,285,,P. Adams Sitney,,,,,,,,,,,,ANEMIC CINEMA,L'Age D'Or,ETOILE DE MER,LAND WITHOUT BREAD,,,,,,,,,,,,,,
00057,,04,25,1979,1979-04-25T00:00:00Z,Wheeler Auditorium,,,,286,,Walter Reisch,,,,,,,,,,,,NINOTCHKA,MASQUERADE,,,,,,,,,,,,,,,,
00058,,04,26,1979,1979-04-26T00:00:00Z,Wheeler Auditorium,,,,287,,Rudi Fehr,,,,,,,,,,,,I CONFESS,POSSESSED,,,,,,,,,,,,,,,,
00059,,04,27,1979,1979-04-27T00:00:00Z,PFA,,,,288,,Walter Reisch,,,,,,,,,,,,MASQUERADE,,,,,,,,,,,,,,,,,
00060,,05,09,1979,1979-05-09T00:00:00Z,Wheeler Auditorium,,,,289,,Donald Richie,,,,,,,,,,,,SEVEN SAMURAI,,,,,,,,,,,,,,,,,
00061,,05,12,1979,1979-05-12T00:00:00Z,PFA,,,,290,,Donald Richie,,,,,,,,,,,,THE MOST BEAUTIFUL,NO REGRETS FOR OUR YOUTH,,,,,,,,,,,,,,,,
00062,,06,01,1979,1979-06-01T00:00:00Z,Wheeler Auditorium,,,,291,,Roberto Vargas,,,,,,,,,,,,NICARAGUA FREE HOMELAND OR DEATH,,,,,,,,,,,,,,,,,
00063,,06,04,1979,1979-06-04T00:00:00Z,PFA,,,,292,,Stanton Kaye,,,,,,,,,,,,HE WANTS HER BACK,,,,,,,,,,,,,,,,,
00064,,07,21,1979,1979-07-21T00:00:00Z,Palace of Fine Arts (SF),,,,293,,Hans-Jurgen Syberberg,,,,,,,,,,,,OUR HITLER. . .,,,,,,,,,,,,,,,,,
00065,,07,25,1979,1979-07-25T00:00:00Z,Wheeler Auditorium,,,,294,,Delphine Seyrig,Sami Frey,,,,,,,,,,,MURIEL,RAK,,,,,,,,,,,,,,,,
00066,,07,29,1979,1979-07-29T00:00:00Z,Wheeler Auditorium,,,,295,,Hans-Jurgen Syberberg,,,,,,,,,,,,HITLER,,,,,,,,,,,,,,,,,
00067,,08,03,1979,1979-08-03T00:00:00Z,Wheeler Auditorium,,,,296,,James Toback,,,,,,,,,,,,FINGERS,,,,,,,,,,,,,,,,,
00068,,05,19,1979,1979-05-19T00:00:00Z,PFA,,,,297,,Les Blank,,,,,,,,,,,,DEL CORAZON,GARLIC IS AS GOOD AS TEN MOTHERS,,,,,,,,,,,,,,,,
00069,,05,24,1979,1979-05-24T00:00:00Z,PFA,,,,298,,Lester Cole,,,,,,,,,,,,HOUSE OF 7 GABLES,,,,,,,,,,,,,,,,,
00070,,06,05,1979,1979-06-05T00:00:00Z,PFA,,,,299,,Babette Mangolte,,,,,,,,,,,,The Camera:Je or La Camera:I,,,,,,,,,,,,,,,,,
00071,,09,07,1979,1979-09-07T00:00:00Z,PFA,EXPERIMENTAL FILMS,,,300,,Shuji Terayama,,,,,,,,,,,,PASTORAL,HIDE AND SEEK,,,,,,,,,,,,,,,,
00072,,09,10,1979,1979-09-10T00:00:00Z,PFA,,,,301,,Alain Tanner,,,,,,,,,,,,CHARLES DEAD OR ALIVE,LA SALAMANDRE,MIDDLE OF THE WORLD,,,,,,,,,,,,,,,
00073,,09,13,1979,1979-09-13T00:00:00Z,PFA,,,,302,,Alain Tanner,,,,,,,,,,,,JONAH WILL BE 25 IN THE YEAR 2000,,,,,,,,,,,,,,,,,
00074,,09,14,1979,1979-09-14T00:00:00Z,PFA,,,,303,,Alain Tanner,,,,,,,,,,,,MESSIDOR,,,,,,,,,,,,,,,,,
00075,,09,18,1979,1979-09-18T00:00:00Z,PFA,,,,304,,Leslie Shatz,Maureen Gosling,,,,,,,,,,,THE NEW KLAN,DEL CORAZON,,,,,,,,,,,,,,,,
00076,,09,19,1979,1979-09-19T00:00:00Z,PFA,,,,305,,Dorothy Wiley,Gunvor Nelson,,,,,,,,,,,BEFORE NEED,,,,,,,,,,,,,,,,,
00077,,09,26,1979,1979-09-26T00:00:00Z,PFA,,,,306,,Rob Nilsson,,,,,,,,,,,,NORTHERN LIGHTS,,,,,,,,,,,,,,,,,
00078,,10,01,1979,1979-10-01T00:00:00Z,PFA,,,,307,,Andron Mikhalkov-Konchalovsky,,,,,,,,,,,,THE FIRST TEACHER,THE FEROCIOUS ONE,,,,,,,,,,,,,,,,
00079,,10,03,1979,1979-10-03T00:00:00Z,PFA,,,,308,,Andron Mikhalkov-Konchalovsky,,,,,,,,,,,,A NEST OF GENTLE FOLK,THE SLAVE OF LOVE,,,,,,,,,,,,,,,,
00080,,10,04,1979,1979-10-04T00:00:00Z,PFA,,,,309,,Luiz Keller,,,,,,,,,,,,TRINDADE,,,,,,,,,,,,,,,,,
00081,,10,06,1979,1979-10-06T00:00:00Z,PFA,,,,310,,Ian Merrick,,,,,,,,,,,,THE BLACK PANTHER,,,,,,,,,,,,,,,,,
00082,,10,08,1979,1979-10-08T00:00:00Z,PFA,,,,311,,Martha Ansara,,,,,,,,,,,,BACKROADS,LOVE LETTERS FROM TERALBA ROAD,MY SURVIVAL AS AN ABORIGINAL  PROTECTED,,,,,,,,,,,,,,,
00083,,07,24,1979,1979-07-24T00:00:00Z,PFA,,,,312,,Emmanuel Cousin,,,,,,,,,,,,NORTH TCHAD,,,,,,,,,,,,,,,,,
00084,,10,12,1979,1979-10-12T00:00:00Z,PFA,,,,313,,Friedrich Knilli,,,,,,,,,,,,THE HOLOCAUST RESEARCH PROJECT,,,,,,,,,,,,,,,,,
00085,,10,12,1979,1979-10-12T00:00:00Z,PFA,,,,314,,Friedrich Knilli,,,,,,,,,,,,THE HOLOCAUST RESEARCH PROJECT,,,,,,,,,,,,,,,,,
00086,,10,14,1979,1979-10-14T00:00:00Z,Wheeler Auditorium,,Arab Delegation,,315,,,,,,,,,,,,,,[Unknown],,,,,,,,,,,,,,,,,
00087,,10,16,1979,1979-10-16T00:00:00Z,Wheeler Auditorium,,Arab Delegation,,316,,,,,,,,,,,,,,[Unknown],,,,,,,,,,,,,,,,,
00088,,10,15,1979,1979-10-15T00:00:00Z,PFA,,,,317,,Tomas Gutierrez Alea,,,,,,,,,,,,THE LAST SUPPER,,,,,,,,,,,,,,,,,
00089,,10,16,1979,1979-10-16T00:00:00Z,PFA,,,,318,,Tomas Gutierrez Alea,,,,,,,,,,,,PORTRAIT OF TERESA,,,,,,,,,,,,,,,,,
00090,,10,17,1979,1979-10-17T00:00:00Z,PFA,,,,319,,Tomas Gutierrez Alea,,,,,,,,,,,,DEATH OF A BUREAUCRAT,THE SURVIVORS,,,,,,,,,,,,,,,,
00091,,10,19,1979,1979-10-19T00:00:00Z,PFA,,,,320,,Barbet Schroeder,,,,,,,,,,,,PERCEVAL,,,,,,,,,,,,,,,,,
00092,,10,23,1979,1979-10-23T00:00:00Z,PFA,,,,321,,Larry Gottheim,,,,,,,,,,,,HORIZONS,,,,,,,,,,,,,,,,,
00093,,10,24,1979,1979-10-24T00:00:00Z,Wheeler Auditorium,,,,322,,Herbert Achternbusch,,,,,,,,,,,,BYE BYE BAVARIA,THE YOUNG MONK,,,,,,,,,,,,,,,,
00094,,10,26,1979,1979-10-26T00:00:00Z,PFA,,,,323,,Bastian Cleve,,,,,,,,,,,,S.F. ZEPHYR,,,,,,,,,,,,,,,,,
00095,,10,27,1979,1979-10-27T00:00:00Z,PFA,,,,324,,Sohrab Shahid Saless,,,,,,,,,,,,DIARY OF A LOVER,,,,,,,,,,,,,,,,,
00096,,10,27,1979,1979-10-27T00:00:00Z,PFA,,,,325,,Uwe Brandner,,,,,,,,,,,,FIFTY-FIFTY,,,,,,,,,,,,,,,,,
00097,,10,30,1979,1979-10-30T00:00:00Z,PFA,,,,326,,Birgit Hein,Wilhelm Hein,,,,,,,,,,,FROM HERE TO ETERNITY,,,,,,,,,,,,,,,,,
00098,,10,31,1979,1979-10-31T00:00:00Z,PFA,NEW GERMAN EXPERIMENTAL,,,327,,Birgit Hein,Wilhelm Hein,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00099,,11,06,1979,1979-11-06T00:00:00Z,PFA,,AND OTHER ANIMATION,,328,,George Griffin,,,,,,,,,,,,LINEAGE,,,,,,,,,,,,,,,,,
00100,,11,08,1979,1979-11-08T00:00:00Z,PFA,,,,329,,Stephen Dwoskin,,,,,,,,,,,,THE SILENT CRY,,,,,,,,,,,,,,,,,
00101,,11,08,1979,1979-11-08T00:00:00Z,PFA,,,,330,,Hellmuth Costard,,,,,,,,,,,,THE OPPRESSION OF WOMEN...,,,,,,,,,,,,,,,,,
00102,,10,25,1979,1979-10-25T00:00:00Z,PFA,,,,331,,Sohrab Shahid Saless,,,,,,,,,,,,A SIMPLE EVENT,FAR FROM HOME,,,,,,,,,,,,,,,,
00103,,11,09,1979,1979-11-09T00:00:00Z,PFA,,,,332,,Hellmuth Costard,,,,,,,,,,,,FOOTBALL (SOCCER),,,,,,,,,,,,,,,,,
00104,,11,09,1979,1979-11-09T00:00:00Z,PFA,,,,333,,Sergio Castilla,,,,,,,,,,,,DISAPPEARED,,,,,,,,,,,,,,,,,
00105,,11,10,1979,1979-11-10T00:00:00Z,PFA,,,,334,,John Nathan,,,,,,,,,,,,THE BLIND SWORDSMAN,,,,,,,,,,,,,,,,,
00106,,11,12,1979,1979-11-12T00:00:00Z,PFA,,,,335,,Eckhart Stein,,,,,,,,,,,,IRACEMA,,,,,,,,,,,,,,,,,
00107,,11,13,1979,1979-11-13T00:00:00Z,PFA,,,,336,,Hellmuth Costard,Eckhart Stein,,,,,,,,,,,THE LITTLE GODARD,,,,,,,,,,,,,,,,,
00108,,11,12,1979,1979-11-12T00:00:00Z,PFA,,,,337,,Jean-Pierre Gorin,,,,,,,,,,,,POTO AND CABENGA,,,,,,,,,,,,,,,,,
00109,,11,15,1979,1979-11-15T00:00:00Z,PFA,,,,338,,Eckhart Stein,,,,,,,,,,,,THE MIDDLE OF THE ROAD IS A VERY DEAD END,THE COMMANCHE,,,,,,,,,,,,,,,,
00110,,,,,,PFA,An interview with Jarman in relationship with his role in SF Film Festival,,,339,,Claude Jarman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00111,,11,18,1979,1979-11-18T00:00:00Z,PFA,,,,340,,Florence Eldridge,,,,,,,,,,,,ACT OF MURDER,,,,,,,,,,,,,,,,,
00112,,11,26,1979,1979-11-26T00:00:00Z,PFA,,,,341,,Werner Schroeter,,,,,,,,,,,,KINGDOM OF NAPLES,,,,,,,,,,,,,,,,,
00113,,11,28,1979,1979-11-28T00:00:00Z,PFA,,,,342,,Douglas Sirk,,,,,,,,,,,,ALL I DESIRE,ALL THAT HEAVEN ALLOWS,,,,,,,,,,,,,,,,
00114,,12,01,1979,1979-12-01T00:00:00Z,PFA,,,,343,,George Moorse,,,,,,,,,,,,THE FOUNDLING,SHADOW RIDER,,,,,,,,,,,,,,,,
00115,,12,05,1979,1979-12-05T00:00:00Z,Wheeler Auditorium,,,,344,,George Moorse,,,,,,,,,,,,THE WOOBBLIES,,,,,,,,,,,,,,,,,
00116,,12,06,1979,1979-12-06T00:00:00Z,PFA,,,,345,,George Moorse,,,,,,,,,,,,LENZ,,,,,,,,,,,,,,,,,
00117,,12,07,1979,1979-12-07T00:00:00Z,PFA,,,,346,,Vassilis Vassilikos,,,,,,,,,,,,Z,,,,,,,,,,,,,,,,,
00118,,01,22,1980,1980-01-22T00:00:00Z,PFA,,,,347,,Richard Myers,,,,,,,,,,,,FLOORSHOW,,,,,,,,,,,,,,,,,
00119,,01,26,1980,1980-01-26T00:00:00Z,PFA,,,,348,,William K. Everson,,,,,,,,,,,,HAPPIEST DAYS OF YOUR LIFE,INSPECTOR CALLS,,,,,,,,,,,,,,,,
00120,,01,27,1980,1980-01-27T00:00:00Z,PFA,,,,349,,William K. Everson,,,,,,,,,,,,REGENERATION,THE YELLOW TICKET,ROAD TO GLORY,PLOUGH AND STARS,THE GROWLER STORY,,,,,,,,,,,,,
00121,,01,29,1980,1980-01-29T00:00:00Z,PFA,,,,350,,William K. Everson,,,,,,,,,,,,SHIP OF LOST MEN,YOUNG GIRLS IN DISTRESS,,,,,,,,,,,,,,,,
00122,,01,30,1980,1980-01-30T00:00:00Z,Wheeler Auditorium,,,,351,,Walter Plunkett,,,,,,,,,,,,SINGING IN THE RAIN,,,,,,,,,,,,,,,,,
00123,,01,31,1980,1980-01-31T00:00:00Z,PFA,,,,352,,William K. Everson,,,,,,,,,,,,SONG OF THE STREET,MOVIES OUT OF THIN AIR,,,,,,,,,,,,,,,,
00124,,02,01,1980,1980-02-01T00:00:00Z,PFA,,,,353,,William K. Everson,,,,,,,,,,,,ONE MORE SPRING,HOOPLA,TURNED OUT NICE AGAIN,KING OF Z,PASSIONATE FRIENDS,WRONG WAY OUT,,,,,,,,,,,,
00125,,02,05,1980,1980-02-05T00:00:00Z,PFA,,,,354,,Terrel Seltzer,,,,,,,,,,,,STORY OF ANNA O,,,,,,,,,,,,,,,,,
00126,,02,04,1980,1980-02-04T00:00:00Z,PFA,,,,355,,Andrew Davis,,,,,,,,,,,,STONY ISLAND,,,,,,,,,,,,,,,,,
00127,,02,09,1980,1980-02-09T00:00:00Z,PFA,,,,356,,Russ Meyer,,,,,,,,,,,,VIXEN,MUDHONEY,"FASTER PUSSYCAT, KILL, KILL",,,,,,,,,,,,,,,
00128,,02,11,1980,1980-02-11T00:00:00Z,PFA,,,,357,,Ralph Liddle,,,,,,,,,,,,SPIRIT OF THE WIND,,,,,,,,,,,,,,,,,
00129,,02,12,1980,1980-02-12T00:00:00Z,PFA,,,,358,,John Nathan,,,,,,,,,,,,FULL MOON LUNCH,FARM SONG,,,,,,,,,,,,,,,,
00130,,03,03,1980,1980-03-03T00:00:00Z,PFA,,,,359,,Jamaa Fanaka,,,,,,,,,,,,PENITENTIARY,,,,,,,,,,,,,,,,,
00131,,11,16,1979,1979-11-16T00:00:00Z,PFA,,,,360,,Werner Schroeter,,,,,,,,,,,,DER BOMBERPILOT,MARIA MALIBRAN,,,,,,,,,,,,,,,,
00132,,04,05,1980,1980-04-05T00:00:00Z,PFA,,,,361,,Michael Powell,,,,,,,,,,,,PEEPING TOM,SMALL BACK ROOM,,,,,,,,,,,,,,,,
00133,,04,09,1980,1980-04-09T00:00:00Z,Wheeler Auditorium,,,,362,,Herbert Feinstein,,,,,,,,,,,,MAN OF MARBLE,,,,,,,,,,,,,,,,,
00134,,03,13,1980,1980-03-13T00:00:00Z,Wheeler Auditorium,,"Albert Johnson, host",,363,,Stanley Donen,Albert Johnson,Richard Avedon,,,,,,,,,,FUNNY FACE,,,,,,,,,,,,,,,,,
00135,,04,03,1980,1980-04-03T00:00:00Z,PFA,,,,364,,Issam Makdissy,Terry Eubanks,,,,,,,,,,,LIARS DICE,,,,,,,,,,,,,,,,,
00136,,04,01,1980,1980-04-01T00:00:00Z,PFA,PROMISE THEM ANYTHING: Political Spots 1933-80,,,365,,James Hall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00137,,03,11,1980,1980-03-11T00:00:00Z,PFA,,,,366,,Kieran Hickey,,,,,,,,,,,,EXPOSURE,A Child’s Voice,,,,,,,,,,,,,,,,
00138,,03,11,1980,1980-03-11T00:00:00Z,PFA,,,,367,,Christine Burrill,David Davis,,,,,,,,,,,JUMP STREET,,,,,,,,,,,,,,,,,
00139,,03,06,1980,1980-03-06T00:00:00Z,PFA,,,,368,,Gonzalo Herralde,,,,,,,,,,,,RACE,THE SPIRIT OF FRANCO,THE PERALBES MURDERER,,,,,,,,,,,,,,,
00140,,04,07,1980,1980-04-07T00:00:00Z,PFA,,With Shorts,,369,,Jacques Richard,,,,,,,,,,,,LE ROUGE DE CHINE,,,,,,,,,,,,,,,,,
00141,,04,08,1980,1980-04-08T00:00:00Z,PFA,Student Films from M.I.T.,,,370,,Carolyn Swartz,Ann Schaetzel,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00142,,04,11,1980,1980-04-11T00:00:00Z,PFA,,,,371,,Yvonne Rainer,,,,,,,,,,,,JOURNEYS FROM BERLIN / 1971,,,,,,,,,,,,,,,,,
00143,,04,15,1980,1980-04-15T00:00:00Z,PFA,THE FILMS OF KURT KREN,,,372,,Kurt Kren,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00144,,04,17,1980,1980-04-17T00:00:00Z,PFA,,,,373,,G. Aravindan,,,,,,,,,,,,THAMPU KUMM ATTY,,,,,,,,,,,,,,,,,
00145,,04,21,1980,1980-04-21T00:00:00Z,PFA,,,,374,,Eberhard Fechner,,,,,,,,,,,,TESTIMONIALS FOR KLARA HEYDEBRECK,UNDER LANDMARK PROTECTION,,,,,,,,,,,,,,,,
